1	duty|task
duty	Abraham Lincoln stated in the Gettysburg address (1863), Americans have a duty to ensure "government of the people, by the people, for the people, shall not perish from the earth."
duty	As the episode begins, Lt. Worf fails to report to his bridge duty station, and Chief Operations Officer Lt Commander Data and First Officer Commander William Riker become concerned.
duty	Revenge was incorporated into the Chetnik manual as a "... sacred duty of the Serbian people against those who had wronged them during the war and occupation".
duty	On 25 May 1871, "Constellation" was recommissioned for midshipmen training cruises; this was a duty she performed for the next 22 years.
duty	While expounding on his duty as a writer, Barton drones: "I gotta tell you, the life of the mind ...
job	Many women take on the largest portion of the domestic obligations of the home, even when they are working full-time jobs.
job	Fry inquires at what his job is, and learns that he will be traveling into space and throughout the universe ... as a delivery boy.
job	Dubbed "The Karenskys", the multi-camera comedy would revolve around a daughter's return to the fold of her large, eccentric, ethnic family after her husband takes a job in her hometown.
job	Down on their luck after a botched smuggling run, Han Solo and Chewbacca resort to accepting a job offer from an anonymous employer.
job	He lost his starting job to Jamaal Jackson before the 2006 season and was subsequently traded to the Cleveland Browns.
job	Fighting job discrimination was a constant battle for African Americans in Chicago, as foremen in various companies restricted the advancement of black workers, which often kept them from earning higher wages.
job	Elisabeth considers leaving Korsbæk for Copenhagen - but through Doctor Hansen's and Ingeborg Skjern's intervention, she's given the job as church organist by Mads Skjern, chairman of the parish council.
job	Sinagra claimed at the Maxi Trial that it was invariably his job to hold the feet of those who died in the Room of Death while Marchese strangled them with a length of rope.
job	"Ten Cents a Dance" is a popular song in which a taxi dancer laments the hardships of her job.
job	After nine months without a job Fach was named on 25 January 2010 as the new head coach of the Kazakhstani vice-champion Lokomotiv Astana.
4	career|job
job	Many women take on the largest portion of the domestic obligations of the home, even when they are working full-time jobs.
job	Fry inquires at what his job is, and learns that he will be traveling into space and throughout the universe ... as a delivery boy.
job	Dubbed "The Karenskys", the multi-camera comedy would revolve around a daughter's return to the fold of her large, eccentric, ethnic family after her husband takes a job in her hometown.
job	Down on their luck after a botched smuggling run, Han Solo and Chewbacca resort to accepting a job offer from an anonymous employer.
job	He lost his starting job to Jamaal Jackson before the 2006 season and was subsequently traded to the Cleveland Browns.
job	Fighting job discrimination was a constant battle for African Americans in Chicago, as foremen in various companies restricted the advancement of black workers, which often kept them from earning higher wages.
job	Elisabeth considers leaving Korsbæk for Copenhagen - but through Doctor Hansen's and Ingeborg Skjern's intervention, she's given the job as church organist by Mads Skjern, chairman of the parish council.
job	Sinagra claimed at the Maxi Trial that it was invariably his job to hold the feet of those who died in the Room of Death while Marchese strangled them with a length of rope.
job	"Ten Cents a Dance" is a popular song in which a taxi dancer laments the hardships of her job.
job	After nine months without a job Fach was named on 25 January 2010 as the new head coach of the Kazakhstani vice-champion Lokomotiv Astana.
career	Even though the album earned some of the best reviews in the band's career, "The Code Of Life" was not supported with any gigs or touring.
career	Early in his career Melgaard created controversial installations referencing subversive subcultures such as S&M and heavy metal music.
career	Later in his career, he was introduced to the steel guitar by Western swing musician Leon McAuliffe, and became a noted fiddle player, who instructed Sugarcane Harris.
career	Head would continue as Scott's principal dress designer to the end of Scott's film career in the late 1950s.
career	Nakagami was a good hitter for someone who primarily played pitcher, hitting .245 with 15 career home runs (including 7 round-trippers in 1950).
career	During the 2015-16 school year, the Alternative Cooperative Education program at Rocky Mountain constructed a GeoDome, a geodesic growing dome that allows students with barriers to employment to practice career skills.
career	He spent most of his career working at Walt Disney Productions (later known as the Walt Disney Animation Studios).
career	Taking Graner's place was another local sports anchor, Jim Mueller, who served with Shanley for the remaining decade of his career with the Browns.
career	This decision was made to reward those fans who had been loyal to them from the start of their career.
career	He won a Carji Greeves Medal in 1958 for Geelong's best and fairest player and represented Victoria four times in interstate matches during his career.
5	small|little
small	First, the plotting of data by Bard and others suggests a small step, less than 6 m, in sea level near the onset of the Younger Dryas.
small	According to the Indian 2005 National Family Health Survey, only a small proportion of Kolkata households were covered under any health scheme or health insurance.
small	This may be an incorporated town or city, a subentity of a large city or an unincorporated census-designated place, or a small unincorporated community.
small	Matte paintings of the Austrian castle and German airport were based on real buildings; the Austrian castle was a small West German castle that was made to look larger.
small	This one was particularly provocative, because the King had sought consent only from a small group of magnates, rather than from representatives from the communities in parliament.
small	Furthermore, al-Muqaddasi describes Amman as a "harbor of the desert" where Arab Bedouin would take refuge, and that its citadel, which overlooked the town, contained a small mosque.
small	Cabinetaxi featured small cars with from four to eight seats that were called to pick up passengers on-demand and drove directly to their destination.
small	Matte paintings of the Austrian castle and German airport were based on real buildings; the Austrian castle was a small West German castle that was made to look larger.
small	The Bulgarian nobility had vanished, leaving an egalitarian peasant society with a small but growing urban middle class.
small	As cilia cannot effectively move in a thick, viscous environment, mucociliary clearance is deficient and a buildup of mucus occurs, clogging small airways.
little	After founding the Institute he had little time for composing, and appears to have concentrated exclusively on teaching.
little	When she finds out the truth, she makes a fateful decision to make the most of the little time they have together.
little	In 2012-13, he wrote and directed "Behind in the Count"; a documentary about the 1965 Canadian champion little league baseball team from CPAC in Winnipeg's north end.
little	Little by little over the next lap, Lambruschini was able to bridge the gap, with Mark Croghan running hard from a few places back to get up to fifth.
little	Edward Daniels and Rachel Solando are anagrams of Andrew Laeddis and Dolores Chanal; furthermore, the little girl from Laeddis' recurring dreams is his daughter Rachel.
little	As the agricultural focus grew other areas of treatment suffered, leading the state to conclude in 1945 that "there is little or no occupational therapy in effect now.
little	Zirconium wire can be sealed to glass with just little treatment – rubbing with abrasive paper and short heating in flame.
little	Medlin itself comprised two little stores built of rough planks and bearing no signs, a corn mill, and four dwellings.
little	A large area of strong convective rainbands persisted to its east, though due to increased upper-level wind shear, there was little convection near the center.
little	But the LTTE fell back to gain time to re-group and was back in little time more fierce than ever.
6	tiny|little
tiny	The corolla of the ray flower may have 2 tiny teeth opposite the 3-lobed strap, or tongue, indicating evolution by fusion from an originally 5-part corolla.
tiny	The Free Baptist Church of Great Pond is a historic church building at 1231 Great Pond Road in Great Pond, Maine, a tiny rural community in northern Hancock County.
tiny	Crepidodera nana, the tiny aspen flea beetle, is a species of flea beetle in the family Chrysomelidae.
tiny	In 1952, American astronomer Eugene Parker proposed that the solar corona might be heated by myriad tiny 'nanoflares', miniature brightenings resembling solar flares that would occur all over the surface of the Sun.
tiny	One view is that tiny sparks are created in a switch when the circuit is closed, and this would constitute lighting a fire (category 37).
tiny	After his marriage his tiny sculptures became larger, but the larger they grew, the thinner they became.
tiny	In the hourglass, fine sand pouring through a tiny hole at a constant rate indicates an arbitrary, predetermined, passage of time.
tiny	During the peace talks the president of the Free State of Fiume Riccardo Zanella tried to spearhead the cause of the tiny state, this time supported also by the previous political rival Andrea Ossoinack.
tiny	In septicemic plague, bacterial endotoxins cause disseminated intravascular coagulation (DIC), causing tiny clots throughout the body and possibly ischemic necrosis (tissue death due to lack of circulation/perfusion to that tissue) from the clots.
tiny	To explain this, Rutherford proposed that the positive charge of the atom is concentrated in a tiny nucleus at the center of the atom.
little	After founding the Institute he had little time for composing, and appears to have concentrated exclusively on teaching.
little	When she finds out the truth, she makes a fateful decision to make the most of the little time they have together.
little	In 2012-13, he wrote and directed "Behind in the Count"; a documentary about the 1965 Canadian champion little league baseball team from CPAC in Winnipeg's north end.
little	Little by little over the next lap, Lambruschini was able to bridge the gap, with Mark Croghan running hard from a few places back to get up to fifth.
little	Edward Daniels and Rachel Solando are anagrams of Andrew Laeddis and Dolores Chanal; furthermore, the little girl from Laeddis' recurring dreams is his daughter Rachel.
little	As the agricultural focus grew other areas of treatment suffered, leading the state to conclude in 1945 that "there is little or no occupational therapy in effect now.
little	Zirconium wire can be sealed to glass with just little treatment – rubbing with abrasive paper and short heating in flame.
little	Medlin itself comprised two little stores built of rough planks and bearing no signs, a corn mill, and four dwellings.
little	A large area of strong convective rainbands persisted to its east, though due to increased upper-level wind shear, there was little convection near the center.
little	But the LTTE fell back to gain time to re-group and was back in little time more fierce than ever.
7	traffic|transportation
traffic  	In 1982–1995 there were 10 fatalities of the pedestrians, mostly when a pedestrian stepped into the street without noticing the approaching tram, very often against red traffic light.
traffic  	In 1872 the foreign office sent him to Zanzibar to negotiate a treaty with the sultan, Barghash bin Said, for the suppression of the slave traffic.
traffic	Due to the boom in traffic, bogie coal wagons were built to replace ageing four-wheeled stock of much lower capacity.
traffic 	The Koscisuzko Bridge was replaced from 2014 to 2017 with a new eastbound span that temporarily served both directions of traffic.
traffic 	Retail spaces are high traffic area and are thus exposed to a lot of wear this means that possible finishes of the materials should be durable.
traffic 	Adam once received a ticket there for jaywalking due to starting to cross a street when "don't walk" was flashing, even though he reached the other side before the traffic signal changed.
traffic 	Procter & Gamble (the line's largest customer) closed in 1990, leading to a large drop in freight traffic.
traffic 	If for some reason, the pilot decides not to land, the pilot can simply fly back up to traffic pattern altitude/circuit height, and complete another circuit.
traffic	A new Y Station, Knockholt in Kent, was later constructed specifically to intercept Tunny traffic so that the messages could be efficiently recorded and sent to Bletchley Park.
traffic	In severe accidents, special traffic or accident investigation boards may analyze the accident and its consequences, and give recommendations to improve safety in traffic.
transportation	All parties involved in the transportation of LLW must maintain the following information: descriptions of the radioactive material, any special health concerns, and procedures to be used during an emergency.
transportation	Prior to the construction of the Sydney Harbour Bridge the ferry system was a vital component of the city's travel system, and the strike caused serious transportation problems.
transportation	As horse-drawn transportation gave way to faster, mechanized transportation, there remained a need to transport horses themselves for work, sport, and other purposes.
transportation	In 2002, the Road Use Tax Fund Committee, a mix of city, county, and state transportation officials, met to review and recommend changes to Iowa's public road system.
transportation	Hydrogen cars, either as hydrogen combustion or fuel cells, require the installation of new infrastructure for hydrogen production, transportation, storage, distribution, and vehicle refueling.
transportation	This interest was mainly driven by the desire to decrease the United States' dependence on foreign oil and reduce the environmental impact of the transportation sector.
transportation	In 1913, the Commission separated from Iowa State College and gained control over county and local transportation officials, who were responsible for road construction and maintenance.
transportation	The CMAQ program funds state departments of transportation (DOTS), municipal planning organizations, and transit agencies for projects and programs in air quality maintenance to reduce transportation related emissions.
transportation	Besides being president thirtieth Cruise, Alvimar de Oliveira Costa is also a farmer, a businessman and transportation and refrigeration.
transportation	It had displays focussing on green energy (including solar and wind power), transportation options without oil, and organic gardening.
8	traffic|transport
traffic  	In 1982–1995 there were 10 fatalities of the pedestrians, mostly when a pedestrian stepped into the street without noticing the approaching tram, very often against red traffic light.
traffic  	In 1872 the foreign office sent him to Zanzibar to negotiate a treaty with the sultan, Barghash bin Said, for the suppression of the slave traffic.
traffic	Due to the boom in traffic, bogie coal wagons were built to replace ageing four-wheeled stock of much lower capacity.
traffic 	The Koscisuzko Bridge was replaced from 2014 to 2017 with a new eastbound span that temporarily served both directions of traffic.
traffic 	Retail spaces are high traffic area and are thus exposed to a lot of wear this means that possible finishes of the materials should be durable.
traffic 	Adam once received a ticket there for jaywalking due to starting to cross a street when "don't walk" was flashing, even though he reached the other side before the traffic signal changed.
traffic 	Procter & Gamble (the line's largest customer) closed in 1990, leading to a large drop in freight traffic.
traffic 	If for some reason, the pilot decides not to land, the pilot can simply fly back up to traffic pattern altitude/circuit height, and complete another circuit.
traffic	A new Y Station, Knockholt in Kent, was later constructed specifically to intercept Tunny traffic so that the messages could be efficiently recorded and sent to Bletchley Park.
traffic	In severe accidents, special traffic or accident investigation boards may analyze the accident and its consequences, and give recommendations to improve safety in traffic.
transport	Exports are to leave the country via port facilities at Hay Point and Abbot Point after being transported to the coast via rail.
transport	The captured property with no means of transport was destroyed with the exception of the sabres, which were distributed to the mounted men, the remainder destroyed.
transport	Falavarjan County Municipalities Mass Transit Organization () also written in English as Falavarbus is a public transport agency running Transit buses in Falavarjan County, located in southeastern Isfahan city, in Greater Isfahan Region, Central Iran.
transport	Some areas of focus include enhancing public transport networks, enabling successful ageing and ensuring a secure but open data marketplace.
transport	The Indonesian Air Force also operated air transport, particularly into the more mountainous areas of the border that were beyond rivers navigable by larger boats and landing craft.
transport	All remains were transported to Poland, and on February 26, 1923, in Kraków, an official funeral took place, with such notable figures present at the ceremony, as Józef Piłsudski and Cardinal Adam Sapieha.
transport	Research supported has included the welfare of sheep while transported at sea, handling methods for poultry, rejection of carcases in religious slaughter, and captive-bolt stunning of alpacas.
transport	The Madrid tramway network is a network of tramways forming part of the public transport system in Madrid, the capital of Spain.
transport	Most of these children also ride on a train called "La Bestia" because it can transport many people at once without charge.
transport	A taxable person is any person who independently carries out an economic activity, whatever the purpose and results of that activity, as well as any person who performs accidental onerous intra-European Union supplies of new transport vehicles.
9	particular|peculiar
particular	One of the band's major influences is Korn, which is said to have had a particular impact on the musical style of their debut album, especially the darker sounds, lyrical style and guitar riffs.
particular	U.S. President Barack Obama condemned the actions of the militants and Jihadi John in particular and vowed punishment for all the militants responsible behind the videotaped beheadings.
particular	The particular gun in the picture has never been legal for civilians to own due to the "Hughes Amendment" in 1986.
particular	A servant with no particular skills would carry a mop head.The 'tassle' worn on their lapel was the emblem of the employee's trade and was known as a 'mop' — hence the term "mop fair.
particular	Sobre-Vega wrote in 2013, "One album of a particular genre is always enough because I don't believe in repeating a sentiment -- when it comes to art."
particular	In particular, the castle of Calatubo guaranteed the flow of information that took place between the outposts of Carini, Partinico and Castellammare del Golfo.
particular	The Senate tentatively agreed to limit debate to 21 particular amendments and a manager's amendment, but did not set time limits on debate.
particular	Typically numbered raffle tickets are used, with prizes allocated to all those ending in a particular digit (traditionally a five or a zero).
particular	The famous Uruguayan artists Pablo Gimenez, , and Rogelio Osorio, in particular, helped to develop Casas' painting style.
particular	In the verdict, the jury foreman said they were unable "to definitely establish the guilt of any particular person" and so Drew was cleared of a murder with which he had never been charged.
peculiar	A short trail leads through the woods to the rock, which includes several crevasses and peculiar rock formations.
peculiar	Also within Mendoza's work stands the saga of "the mad detective", a peculiar character, a nameless accidental-detective locked up in a mental hospital.
peculiar	The articles pulled back from some of the more extreme Calvinist thinking and created the peculiar English reformed doctrine.
peculiar	Analytic verb negation is very peculiar, and it employs a form of 'ಇರು' ('to be, exist'), which is 'ಇಲ್ಲ'.
peculiar	Originally meaning "strange" or "peculiar", "queer" came to be used pejoratively against those with same-sex desires or relationships in the late 19th century.
peculiar	Timōrātus is a peculiar band as far as style; the band has produced several releases, each with several different genres that were focused on.
peculiar	In this cartoon strip’s characters, he also affirmed the Filipino's peculiar coping mechanism of laughing at himself in the face of adversity but still absorbing life's vicissitudes with resilience.
peculiar	The peculiarity of the find is that the funeral set of the warrior remained untouched - iron armor, bow with bone trim, decorated with a pattern, a two-handed sword, and a quiver with arrows.
peculiar	Because of the peculiar factors (Specie Circular) of international trade at the time, abundant amounts of silver were coming into the United States from Mexico and China.
peculiar	Its portrayal of merchants in a positive (or at least neutral) light make it peculiar in the Middle Ages.
10	specific|peculiar
specific	The ESA USB specification was created by a joint venture between Microsoft, Nvidia, Logitech and several other companies.
specific	Different companies may offer different forms of consulting, ranging from providing a quick fix for specific problems, provide extensive explanations to the client or even running the whole analyses.
specific	Specified Minimum Yield Strength (SMYS) means the specified minimum yield strength for steel pipe manufactured in accordance with a listed specification.
specific	The standard AIA (American Institute of Architects) and EJCDC (Engineering Joint Contract Documents Committee) states that the drawings and specifications are complementary, together providing the information required for a complete facility.
specific	Management agencies sometimes rely on hunting to control specific animal populations , as has been the case with deer in North Americ
specific	The ESA specification is built around the current USB human interface device class specification and ESA was sent to the USB Implementers Forum HID subcommittee for discussion and approval in early 2007.
specific	The Pur-alpha inhibition of cancer cell proliferation occurs at specific points in the cell division cycle, primarily at checkpoints for transition to DNA replication or mitosis.
specific	The study also found ad impressions that used owned content/CTA, generated a 0 35% increase over impressions without specific content CTA and two times above the industry benchmark of 0.08%.
specific	ArCHspec was created specifically for use by Licensed Architects while designing SFR (Single Family Residential) architectural projects.
specific	Both of the domains for the three proteins can bind to tyrosine-phosphorylated proteins but they are different in their phosphopeptide-binding specificities.
peculiar	A short trail leads through the woods to the rock, which includes several crevasses and peculiar rock formations.
peculiar	Also within Mendoza's work stands the saga of "the mad detective", a peculiar character, a nameless accidental-detective locked up in a mental hospital.
peculiar	The articles pulled back from some of the more extreme Calvinist thinking and created the peculiar English reformed doctrine.
peculiar	Analytic verb negation is very peculiar, and it employs a form of 'ಇರು' ('to be, exist'), which is 'ಇಲ್ಲ'.
peculiar	Originally meaning "strange" or "peculiar", "queer" came to be used pejoratively against those with same-sex desires or relationships in the late 19th century.
peculiar	Timōrātus is a peculiar band as far as style; the band has produced several releases, each with several different genres that were focused on.
peculiar	In this cartoon strip’s characters, he also affirmed the Filipino's peculiar coping mechanism of laughing at himself in the face of adversity but still absorbing life's vicissitudes with resilience.
peculiar	The peculiarity of the find is that the funeral set of the warrior remained untouched - iron armor, bow with bone trim, decorated with a pattern, a two-handed sword, and a quiver with arrows.
peculiar	Because of the peculiar factors (Specie Circular) of international trade at the time, abundant amounts of silver were coming into the United States from Mexico and China.
peculiar	Its portrayal of merchants in a positive (or at least neutral) light make it peculiar in the Middle Ages.
11	special|specific
special  	On January 1, 1989, the television special "The Karen Carpenter Story" premiered on CBS, topping the ratings for that week.
special  	Inside the tube the animal is segmented and regionally specialized, with highly modified appendages on different segments for cutting the tunnel, feeding, or creating suction for the flow of water through the tube home.
special  	This is not the same cover of "Space Oddity" that first appeared on the special edition of the Star One album, "Space Metal", another project of Arjen's.
special 	After obtaining numerous special permits, both from the state and the church, the remains were reburied in the churchyard of the Pinosava Monastery in Kusadak on 9 March 2018.
special  	He specialized in mass spectrometry and utilized this method to determine isotope ratios needed for the radiometric dating of geologically and cosmologically relevant samples.
special 	Since 2002 he is the scientific Director of the bimonthly magazine "Qualenergia" and of the most visited Italian web site specialized on energy efficiency and on renewable energies (www.qualenergia.it).
special	The Southern African Special Administrative Region is a political concept proposing the creation of an autonomous self-governing region – or special administrative region (SAR) – in southern Africa.
special  	The special issue "Tantalizing Stories Presents Frank in the River" won the award for Best Single Issue or Story in 1993, and Woodring was awarded Best Colorist for his work in that issue.
special  	Failure of prosecution in a number of cases under the Criminal procedures act 1898 led to a special act whereby crimes of nationalist violence were to be tried by a special tribunal composed of three high-court judges.
special	Not only is the broad field of philosophy today far too vast to be embraced by one mind, something similar is true even of many highly specialized subf     ields.\"
specific	The ESA USB specification was created by a joint venture between Microsoft, Nvidia, Logitech and several other companies.
specific	Different companies may offer different forms of consulting, ranging from providing a quick fix for specific problems, provide extensive explanations to the client or even running the whole analyses.
specific	Specified Minimum Yield Strength (SMYS) means the specified minimum yield strength for steel pipe manufactured in accordance with a listed specification.
specific	The standard AIA (American Institute of Architects) and EJCDC (Engineering Joint Contract Documents Committee) states that the drawings and specifications are complementary, together providing the information required for a complete facility.
specific	Management agencies sometimes rely on hunting to control specific animal populations , as has been the case with deer in North Americ
specific	The ESA specification is built around the current USB human interface device class specification and ESA was sent to the USB Implementers Forum HID subcommittee for discussion and approval in early 2007.
specific	The Pur-alpha inhibition of cancer cell proliferation occurs at specific points in the cell division cycle, primarily at checkpoints for transition to DNA replication or mitosis.
specific	The study also found ad impressions that used owned content/CTA, generated a 0 35% increase over impressions without specific content CTA and two times above the industry benchmark of 0.08%.
specific	ArCHspec was created specifically for use by Licensed Architects while designing SFR (Single Family Residential) architectural projects.
specific	Both of the domains for the three proteins can bind to tyrosine-phosphorylated proteins but they are different in their phosphopeptide-binding specificities.
12	particular|specific
specific	The ESA USB specification was created by a joint venture between Microsoft, Nvidia, Logitech and several other companies.
specific	Different companies may offer different forms of consulting, ranging from providing a quick fix for specific problems, provide extensive explanations to the client or even running the whole analyses.
specific	Specified Minimum Yield Strength (SMYS) means the specified minimum yield strength for steel pipe manufactured in accordance with a listed specification.
specific	The standard AIA (American Institute of Architects) and EJCDC (Engineering Joint Contract Documents Committee) states that the drawings and specifications are complementary, together providing the information required for a complete facility.
specific	Management agencies sometimes rely on hunting to control specific animal populations , as has been the case with deer in North Americ
specific	The ESA specification is built around the current USB human interface device class specification and ESA was sent to the USB Implementers Forum HID subcommittee for discussion and approval in early 2007.
specific	The Pur-alpha inhibition of cancer cell proliferation occurs at specific points in the cell division cycle, primarily at checkpoints for transition to DNA replication or mitosis.
specific	The study also found ad impressions that used owned content/CTA, generated a 0 35% increase over impressions without specific content CTA and two times above the industry benchmark of 0.08%.
specific	ArCHspec was created specifically for use by Licensed Architects while designing SFR (Single Family Residential) architectural projects.
specific	Both of the domains for the three proteins can bind to tyrosine-phosphorylated proteins but they are different in their phosphopeptide-binding specificities.
particular	One of the band's major influences is Korn, which is said to have had a particular impact on the musical style of their debut album, especially the darker sounds, lyrical style and guitar riffs.
particular	U.S. President Barack Obama condemned the actions of the militants and Jihadi John in particular and vowed punishment for all the militants responsible behind the videotaped beheadings.
particular	The particular gun in the picture has never been legal for civilians to own due to the "Hughes Amendment" in 1986.
particular	A servant with no particular skills would carry a mop head.The 'tassle' worn on their lapel was the emblem of the employee's trade and was known as a 'mop' — hence the term "mop fair.
particular	Sobre-Vega wrote in 2013, "One album of a particular genre is always enough because I don't believe in repeating a sentiment -- when it comes to art."
particular	In particular, the castle of Calatubo guaranteed the flow of information that took place between the outposts of Carini, Partinico and Castellammare del Golfo.
particular	The Senate tentatively agreed to limit debate to 21 particular amendments and a manager's amendment, but did not set time limits on debate.
particular	Typically numbered raffle tickets are used, with prizes allocated to all those ending in a particular digit (traditionally a five or a zero).
particular	The famous Uruguayan artists Pablo Gimenez, , and Rogelio Osorio, in particular, helped to develop Casas' painting style.
particular	In the verdict, the jury foreman said they were unable "to definitely establish the guilt of any particular person" and so Drew was cleared of a murder with which he had never been charged.
13	accountability|responsibility
accountability	During this time he played a leading role in international research and campaigns on trade and investment agreements, sustainable development, corporate accountability, Third World debt and international aid and development policy.
accountability	During this time he played a leading role in international research and campaigns on trade and investment agreements, sustainable development, corporate accountability, Third World debt and international aid and development policy.
accountability	In the police reform programme, CHRI aims to increase demand for a rights-based police reform and to strengthen police accountability.
accountability	Security issues have been categorised into sensitive data access, data segregation, privacy, bug exploitation, recovery, accountability, malicious insiders, management console security, account control, and multi-tenancy issues.
accountability	Security issues have been categorised into sensitive data access, data segregation, privacy, bug exploitation, recovery, accountability, malicious insiders, management console security, account control, and multi-tenancy issues.
accountability	The film argues the creation of a Behavioral Health Corps is necessary to ensure accountability in the military chain of command toward mental health.
accountability	The programme has a focus on creating long-term structural changes to policing and accountability systems, this in order to improve accountability, transparency, and performance.
accountability	The team does this with research, policy analysis, accountability monitoring, public education campaigns, and with civil society networking.
accountability	The team does this with research, policy analysis, accountability monitoring, public education campaigns, and with civil society networking.
accountability	These include an inadequate civil servants recruitment policy, insufficient salaries, limited skills, no accountability for action taken (or not taken), a lack of strategic planning, and ad-hoc investment decisions.
responsibility	All activities and interactions are meant to teach players about responsibility, nurture, and the importance of helping others.
responsibility	This is a responsibility to lead teacher training, professional development, research and development, leadership, raising achievement and school to school support.
